X_WGS84,Y_WGS84,Rana_AllData_Full logistic values
-6.2281289375,38.6478620677,0.008646931
-5.0816503719,38.8944367622,0.008646931
1.2547025577,42.4412965545,0.0
-4.9529660688,38.7295077502,0.008646931
2.6523583847,42.1759332625,0.13907015
-3.23978245,37.9883970183,0.0043998105
-5.7353124897,37.7842523103,0.008646931
-7.5619772183,38.7224480643,0.13907015
-8.0325519941,37.3792082025,0.011899248
-1.1056785485,39.0862783793,0.13907015
0.1303024282,38.7741572421,0.13907015
2.3329695498,42.08650793,0.0
-6.1117993844,38.2840459606,0.008646931
-0.6226811632,40.1122441092,0.13907015
-2.9804357341,41.6646389715,0.13907015
-4.7551639345,42.0524657219,0.24174863
-2.4775507722,41.5518301797,0.13907015
-3.2267415506,41.8141967322,0.13907015
-4.4519674446,42.434784012,0.24174863
-0.3391836476,39.4526337696,0.13907015
0.44812207,41.2807985782,0.13907015
-0.9101143048,39.2213629282,0.13907015
-1.0213946043,40.4331173182,0.13907015
0.9321235255,41.5555642444,0.13907015
-1.1629878338,38.378061995,0.13907015
-1.5566933975,40.8993989008,0.13907015
-5.5463328533,42.1262745306,0.24174863
-3.8233139844,42.121490964,0.24174863
-1.612918581,43.244092838,0.3109266
-6.8001537897,37.8549293513,0.008646931
-7.9023232296,37.431727277,0.011899248
-2.4126716697,40.7192258088,0.13907015
-1.1926120988,39.0445381703,0.13907015
-6.0106312849,38.8681444487,0.008646931
-4.0301687039,37.5095158545,0.008646931
-5.4453296986,37.1085094405,0.0043998105
-5.5500636381,39.0543518754,0.008646931
-2.6852052356,39.3864970827,0.13907015
-2.0472891286,42.6714513652,0.4070196
-3.0525102621,37.9069203746,0.24174863
1.3648786414,42.4914774209,0.0
-4.9463890901,42.1716508066,0.24174863
-1.5604070467,40.8536103765,0.13907015
-6.0841680538,38.5408148966,0.008646931
-0.4079998978,42.6090373682,0.0
-4.7773634929,37.5397495586,0.0043998105
-3.3244054898,38.0279324412,0.0043998105
-2.2857909379,40.2531611378,0.24174863
-1.3387852195,41.2990989471,0.13907015
-6.6634269798,40.9050700945,0.4070196
2.1735173673,41.9760480109,0.0
-5.5187838393,41.578947509,0.24174863
-8.7252299841,38.931624534,0.7835679
-1.1174642956,40.7511072078,0.13907015
-7.7904469472,38.8051622006,0.24174863
-4.0884168932,37.9445801751,0.0043998105
-7.6164826451,37.1798402062,0.011899248
-0.869163809,40.57172898,0.24174863
-6.403711323,36.9883351289,0.0043998105
-1.7385642008,40.7465089386,0.13907015
0.7361491651,40.8444864829,0.13907015
-5.3395659749,36.563109737,0.86726326
-2.8837414646,42.607929252,0.24174863
0.3237203873,41.0481690429,0.13907015
-1.042669956,39.8321377563,0.13907015
-2.0642384072,40.2131082685,0.24174863
-8.2735598085,37.7809309964,0.011899248
-2.7714561732,38.2039361093,0.13907015
-4.1399892161,36.7907027504,0.0043998105
-1.5923941358,40.4920627473,0.24174863
-5.7598525896,41.7401958092,0.24174863
-1.7289747052,38.8328580004,0.13907015
