X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-6.990315,38.60562,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-7.427625,39.603442,train,1.471791910213394,100.0,0.986871375809427
-7.317719,39.331613,train,9.229256090362576,100.0,0.9978830138876467
-7.315555,39.421679,train,2.9048990284773453,100.0,0.99330490698031
-7.201751,39.329879,train,2.9048990284773453,100.0,0.99330490698031
-7.199438,39.41994,train,2.9048990284773453,100.0,0.99330490698031
-6.04569,39.576408,train,1.70780658683898E-4,0.16417415097069463,0.00864693041672154
-6.162222,39.219083,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.486737,39.857144,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-9.183864,42.946721,train,Infinity,100.0,NaN
-9.184132,43.036769,train,Infinity,100.0,NaN
-9.061289,42.946853,train,Infinity,100.0,NaN
-9.061378,43.036901,train,Infinity,100.0,NaN
-9.061468,43.126948,train,Infinity,100.0,NaN
-9.061111,42.766752,train,Infinity,100.0,NaN
-9.0612,42.856803,train,Infinity,100.0,NaN
-8.818757,42.046165,train,Infinity,100.0,NaN
-8.818501,42.136227,train,Infinity,100.0,NaN
-8.817984,42.316347,train,Infinity,100.0,NaN
-8.697929,42.04591,train,Infinity,100.0,NaN
-8.697502,42.135972,train,Infinity,100.0,NaN
-8.697072,42.226032,train,Infinity,100.0,NaN
-8.696641,42.31609,train,Infinity,100.0,NaN
-8.696207,42.406147,train,Infinity,100.0,NaN
-8.577104,42.045529,train,Infinity,100.0,NaN
-8.576505,42.135589,train,Infinity,100.0,NaN
-8.575904,42.225648,train,Infinity,100.0,NaN
-8.575299,42.315705,train,Infinity,100.0,NaN
-8.574693,42.405761,train,Infinity,100.0,NaN
-8.455511,42.135079,train,Infinity,100.0,NaN
-8.454738,42.225136,train,Infinity,100.0,NaN
-8.453961,42.315191,train,Infinity,100.0,NaN
-8.453179,42.405245,train,Infinity,100.0,NaN
-8.819013,41.956101,train,Infinity,100.0,NaN
-8.698355,41.955848,train,Infinity,100.0,NaN
-8.333575,42.224496,train,Infinity,100.0,NaN
-8.332626,42.314549,train,Infinity,100.0,NaN
-8.331674,42.40462,train,Infinity,100.0,NaN
-8.213534,42.133675,train,Infinity,100.0,NaN
-8.212417,42.223728,train,Infinity,100.0,NaN
-8.211295,42.313779,train,Infinity,100.0,NaN
-8.093835,42.042731,train,Infinity,100.0,NaN
-8.092553,42.132782,train,Infinity,100.0,NaN
-8.091264,42.222832,train,Infinity,100.0,NaN
-8.08997,42.31288,train,Infinity,100.0,NaN
-8.08867,42.402927,train,Infinity,100.0,NaN
-7.973031,42.041713,train,Infinity,100.0,NaN
-7.971577,42.131761,train,Infinity,100.0,NaN
-7.970117,42.221808,train,Infinity,100.0,NaN
-7.96865,42.311853,train,Infinity,100.0,NaN
-7.852233,42.040569,train,Infinity,100.0,NaN
-7.850609,42.130613,train,Infinity,100.0,NaN
-7.848977,42.220656,train,Infinity,100.0,NaN
-7.847338,42.310698,train,Infinity,100.0,NaN
-8.215752,41.953565,train,Infinity,100.0,NaN
-8.097648,41.772568,train,Infinity,100.0,NaN
-8.096383,41.862624,train,Infinity,100.0,NaN
-8.095112,41.952678,train,Infinity,100.0,NaN
-7.975918,41.861613,train,Infinity,100.0,NaN
-7.974478,41.951664,train,Infinity,100.0,NaN
-7.85546,41.860475,train,Infinity,100.0,NaN
-7.85385,41.950523,train,Infinity,100.0,NaN
-8.938624,43.036901,train,Infinity,100.0,NaN
-8.938534,43.126948,train,Infinity,100.0,NaN
-8.938443,43.216993,train,Infinity,100.0,NaN
-8.938352,43.307037,train,Infinity,100.0,NaN
-8.816138,42.946721,train,Infinity,100.0,NaN
-8.815869,43.036769,train,Infinity,100.0,NaN
-8.815328,43.216861,train,Infinity,100.0,NaN
-8.815056,43.306904,train,Infinity,100.0,NaN
-8.693564,42.946459,train,Infinity,100.0,NaN
-8.693116,43.036506,train,Infinity,100.0,NaN
-8.692666,43.126552,train,Infinity,100.0,NaN
-8.692215,43.216596,train,Infinity,100.0,NaN
-8.570992,42.946065,train,Infinity,100.0,NaN
-8.570365,43.036111,train,Infinity,100.0,NaN
-8.569736,43.126155,train,Infinity,100.0,NaN
-8.569103,43.216198,train,Infinity,100.0,NaN
-8.568468,43.30624,train,Infinity,100.0,NaN
-8.448423,42.94554,train,Infinity,100.0,NaN
-8.447617,43.035584,train,Infinity,100.0,NaN
-8.446808,43.125627,train,Infinity,100.0,NaN
-8.445995,43.215668,train,Infinity,100.0,NaN
-8.445178,43.305708,train,Infinity,100.0,NaN
-8.939067,42.586646,train,Infinity,100.0,NaN
-8.938979,42.6767,train,Infinity,100.0,NaN
-8.938891,42.766752,train,Infinity,100.0,NaN
-8.938802,42.856803,train,Infinity,100.0,NaN
-8.817463,42.496461,train,Infinity,100.0,NaN
-8.816936,42.676569,train,Infinity,100.0,NaN
-8.816671,42.766622,train,Infinity,100.0,NaN
-8.816405,42.856672,train,Infinity,100.0,NaN
-8.695772,42.496203,train,Infinity,100.0,NaN
-8.695334,42.586257,train,Infinity,100.0,NaN
-8.694895,42.676309,train,Infinity,100.0,NaN
-8.694453,42.766361,train,Infinity,100.0,NaN
-8.69401,42.856411,train,Infinity,100.0,NaN
-8.574083,42.495815,train,Infinity,100.0,NaN
-8.57347,42.585868,train,Infinity,100.0,NaN
-8.572855,42.675919,train,Infinity,100.0,NaN
-8.572237,42.765969,train,Infinity,100.0,NaN
-8.571616,42.856018,train,Infinity,100.0,NaN
-8.452398,42.495317,train,Infinity,100.0,NaN
-8.451609,42.585349,train,Infinity,100.0,NaN
-8.450818,42.675399,train,Infinity,100.0,NaN
-8.450023,42.765448,train,Infinity,100.0,NaN
-8.449225,42.855495,train,Infinity,100.0,NaN
-8.325858,42.944884,train,Infinity,100.0,NaN
-8.324873,43.034926,train,Infinity,100.0,NaN
-8.323884,43.124967,train,Infinity,100.0,NaN
-8.32289,43.215006,train,Infinity,100.0,NaN
-8.321891,43.305044,train,Infinity,100.0,NaN
-8.202133,43.034136,train,Infinity,100.0,NaN
