X_WGS84,Y_WGS84,Rana_AllData_RUN1 logistic values
-6.2281289375,38.6478620677,2.7533253E-24
-5.0816503719,38.8944367622,1.2464324E-24
1.2547025577,42.4412965545,0.0
-4.9529660688,38.7295077502,1.5982943E-24
2.6523583847,42.1759332625,2.2724374E-4
-8.0325519941,37.3792082025,0.26276347
-1.1056785485,39.0862783793,2.516835E-5
-0.6226811632,40.1122441092,2.8889113E-5
-4.7551639345,42.0524657219,4.791909E-5
-2.4775507722,41.5518301797,3.1770207E-5
-3.2267415506,41.8141967322,3.4803485E-5
-4.4519674446,42.434784012,1.21844765E-4
-0.3391836476,39.4526337696,6.5008884E-5
0.44812207,41.2807985782,2.643716E-5
-1.0213946043,40.4331173182,3.6926278E-5
-1.1629878338,38.378061995,0.029188795
-1.5566933975,40.8993989008,4.207517E-5
-3.8233139844,42.121490964,6.039346E-5
-1.612918581,43.244092838,0.7344349
-6.8001537897,37.8549293513,1.3787878E-23
-1.1926120988,39.0445381703,2.7379174E-5
-6.0106312849,38.8681444487,1.6533548E-24
-4.0301687039,37.5095158545,3.6448797E-24
-5.4453296986,37.1085094405,1.8749955E-15
-2.0472891286,42.6714513652,0.039444007
-3.0525102621,37.9069203746,8.313806E-5
1.3648786414,42.4914774209,0.0
-6.0841680538,38.5408148966,3.2278088E-24
-0.4079998978,42.6090373682,0.0
-4.7773634929,37.5397495586,6.975927E-24
-2.2857909379,40.2531611378,7.089046E-5
-6.6634269798,40.9050700945,0.22884107
2.1735173673,41.9760480109,0.0
-7.7904469472,38.8051622006,0.0011676544
-4.0884168932,37.9445801751,1.3943521E-24
-0.869163809,40.57172898,0.013202281
-6.403711323,36.9883351289,3.1907136E-24
-1.7385642008,40.7465089386,0.0042886925
0.7361491651,40.8444864829,1.1632956E-4
-5.3395659749,36.563109737,0.10077678
-2.8837414646,42.607929252,2.201193E-4
0.3237203873,41.0481690429,3.9809707E-5
-1.042669956,39.8321377563,2.2397218E-5
-2.0642384072,40.2131082685,1.2020135E-4
-8.2735598085,37.7809309964,0.06203389
-2.7714561732,38.2039361093,3.867755E-5
-4.1399892161,36.7907027504,1.2652815E-24
-1.5923941358,40.4920627473,0.014981016
-5.7598525896,41.7401958092,4.4793152E-5
-1.7289747052,38.8328580004,2.1547186E-5
-3.8155274881,39.5414929753,2.3082985E-5
-2.5527055125,37.5170582738,3.3627763E-5
-8.0662818388,38.3050849213,0.056570757
-3.069110917,38.9992328053,3.140531E-5
0.0972782107,42.6034888049,0.0
-0.684244378,38.43505972,0.052904334
-1.3878395606,37.5366533656,3.206806E-22
-2.3684807228,37.4126594801,1.7333241E-5
-4.3191158025,38.3739319885,2.6667845E-24
-1.5854126919,42.4455948048,3.1937074E-4
0.0901437001,40.2282740751,6.163274E-5
-1.7006732678,41.0657476056,4.032218E-5
-6.2229438674,38.9180399624,1.7385776E-24
-3.8151956489,39.4471008239,2.5732896E-5
1.1187491867,41.9516510424,8.738665E-5
-2.1732738254,39.5821675389,2.8383687E-5
-1.6991747631,42.9178143689,0.009159912
-2.2850504978,39.9785469379,3.930541E-5
-4.4768276559,37.3992550312,1.0895184E-23
-3.5106181734,39.0126901531,2.4576548E-5
-2.198812009,38.0929613685,1.1924013E-4
-1.8260447025,38.3404236308,1.4572432E-5
-0.4806441031,42.5283047237,0.012115113
-2.4567929013,41.1841646226,3.5976325E-5
-3.2926054512,37.3763388602,1.4893977E-4
-2.5406591017,41.3351143824,3.1838375E-5
1.2929885164,41.8637433843,8.0946586E-5
-0.196021331,42.0536180629,2.3176875E-5
-5.6225374797,38.56745901,5.131623E-24
-1.4368875372,40.253584312,0.0050819707
-4.9384078738,37.6552329402,7.931655E-24
-5.3678558735,36.8477504365,0.009026333
-6.485769367,37.6277969536,4.5152256E-24
-2.09891998,38.3815641782,1.9129722E-5
-5.1758627617,37.086157121,0.002544078
-1.4107515421,41.9957212407,2.1126943E-5
-6.5714471765,38.0918322497,0.0010984518
-4.8946443958,38.0987467536,8.4854155E-24
-5.2542005897,37.0755277477,0.0038476759
-3.5764793732,37.343248522,1.697875E-24
-1.8193070787,41.1620608501,3.4115717E-5
-3.6627081045,37.1517422563,1.3832142E-24
-1.7582764219,38.1668511745,1.4760578E-5
-8.2078839443,38.0339340121,0.046900116
-5.7806909104,37.416661647,7.09793E-24
-7.953117789,38.3125546656,0.054371964
0.4757126417,42.5614281949,0.0
-5.5591791004,37.1160408315,6.1920246E-20
0.6465424727,41.8300985816,3.1804262E-5
-3.8950083376,42.1184364167,5.9260772E-5
-0.1410404083,41.5300933701,1.8830795E-5
-1.7513239164,42.1205266598,2.7300854E-5
-3.9264798928,40.0775034512,1.9071453E-5
-3.9102621215,36.765275636,8.1050414E-25
-0.5121991517,40.3228967789,0.005934027
-1.4804332567,40.7653363972,3.828617E-5
-6.2772895786,36.7157210667,0.40106913
-3.009141125,38.7083012525,3.2926764E-5
-3.9904986565,41.7441368581,4.288386E-5
-3.2586186668,42.3126054627,0.011771998
-2.3960928222,42.0129522741,0.0059307893
-2.62130632,41.4369762269,2.7300854E-5
-0.5021934411,39.2285442705,4.878185E-5
-3.9587306631,36.9485991091,2.3465676E-22
3.0940553869,42.3464617563,1.1085E-4
-1.479383128,37.6479983006,1.5452948E-5
-2.7144562307,40.7646182566,4.590646E-5
-5.8145022745,39.3461046346,1.2979316E-24
1.3730309868,41.278212398,8.572712E-5
-6.7052281512,39.244136111,2.565639E-4
-6.2490925412,37.2608207154,3.1213356E-24
-1.9729183375,40.8152347461,4.4151246E-5
