Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.12375E-6,0.000312375,0.000014572,0.721311475,0.005093379,0
3.16408E-6,0.000628783,0.000014761,0.713114754,0.005093379,0
3.396E-6,0.001037008,0.000015842,0.696721311,0.008488964,0
4.10067E-6,0.002554133,0.00001913,0.672131148,0.01188455,0
5.26829E-6,0.005467478,0.000024577,0.62295082,0.01188455,0
6.19276E-6,0.010110408,0.000028889,0.557377049,0.01188455,0
9.60216E-6,0.025233843,0.000044793,0.401639344,0.016977929,0
2.57691E-5,0.052322638,0.000120201,0.270491803,0.039049236,0
2.3572E-4,0.10364072,0.001098452,0.213114754,0.050933786,0
6.07589E-4,0.201289318,0.002826459,0.18852459,0.054329372,0
8.65763E-4,0.302786754,0.004022634,0.180327869,0.067911715,0
1.07345E-3,0.454295191,0.004982834,0.172131148,0.074702886,0
1.15597E-3,0.510428685,0.005363816,0.163934426,0.076400679,0
1.27959E-3,0.72383652,0.005934027,0.155737705,0.079796265,0
1.50664E-3,0.789716993,0.006979585,0.147540984,0.079796265,0
1.84995E-3,0.889335014,0.008556405,0.147540984,0.081494058,0
1.95248E-3,0.919084687,0.009026333,0.147540984,0.083191851,0
1.98164E-3,1.117249019,0.009159912,0.139344262,0.083191851,0
2.55347E-3,1.372596045,0.011771999,0.131147541,0.083191851,0
2.62881E-3,1.635476861,0.012115113,0.12295082,0.083191851,0
2.86786E-3,1.922263271,0.01320228,0.114754098,0.083191851,0
3.26013E-3,2.248275885,0.014981016,0.106557377,0.083191851,0
3.60107E-3,2.317271714,0.016521864,0.098360656,0.083191851,0
6.44494E-3,2.892770286,0.029188796,0.098360656,0.084889643,0
6.92117E-3,3.070591813,0.031278136,0.090163934,0.084889643,0
8.8023E-3,3.773000119,0.039444006,0.090163934,0.086587436,0
9.37039E-3,4.116242784,0.041883055,0.081967213,0.086587436,0
1.05481E-2,4.827807761,0.046900118,0.081967213,0.088285229,0
1.19739E-2,6.025196465,0.052904334,0.073770492,0.088285229,0
1.23252E-2,7.257712101,0.054371965,0.06557377,0.088285229,0
1.28535E-2,8.54305919,0.056570758,0.057377049,0.088285229,0
1.41768E-2,9.960743817,0.062033891,0.049180328,0.088285229,0
2.40232E-2,12.363062924,0.100776776,0.040983607,0.088285229,0
2.93465E-2,13.218433437,0.120418814,0.032786885,0.088285229,0
3.39265E-2,13.954367349,0.136644139,0.032786885,0.091680815,0
6.36104E-2,18.72409859,0.228841071,0.032786885,0.093378608,0
7.26948E-2,24.15058397,0.253246135,0.024590164,0.093378608,0
7.64004E-2,26.364143236,0.262763471,0.024590164,0.095076401,0
1.43542E-1,40.71838661,0.401069139,0.016393443,0.096774194,0
3.68063E-1,70.343788792,0.631954268,0.008196721,0.096774194,0
5.92816E-1,100,0.734434881,0.008196721,0.098471986,0
6.12816E-1,100,0.740855982,0,0.098471986,0
1E0,100,0.823481041,0,0.100169779,0
