X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-6.990315,38.60562,train,7.18714047612504E-5,0.0635913768152508,3.3517590645464626E-4
-7.427625,39.603442,train,4.5474041103485848E16,100.0,1.0
-7.315555,39.421679,train,6.44403470468542E16,100.0,1.0
-7.201751,39.329879,train,4.8915998681085152E16,100.0,1.0
-6.162222,39.219083,train,3.875883722617909E-5,0.05549770607606688,1.807817010893546E-4
-6.486737,39.857144,train,4.1642858725542957E-5,0.056202644477350794,1.9423094472349956E-4
-9.183864,42.946721,train,Infinity,100.0,NaN
-9.061289,42.946853,train,Infinity,100.0,NaN
-9.061468,43.126948,train,Infinity,100.0,NaN
-9.0612,42.856803,train,Infinity,100.0,NaN
-8.818757,42.046165,train,Infinity,100.0,NaN
-8.697929,42.04591,train,Infinity,100.0,NaN
-8.697072,42.226032,train,Infinity,100.0,NaN
-8.696641,42.31609,train,Infinity,100.0,NaN
-8.696207,42.406147,train,Infinity,100.0,NaN
-8.576505,42.135589,train,Infinity,100.0,NaN
-8.575904,42.225648,train,Infinity,100.0,NaN
-8.575299,42.315705,train,Infinity,100.0,NaN
-8.455511,42.135079,train,Infinity,100.0,NaN
-8.454738,42.225136,train,Infinity,100.0,NaN
-8.453179,42.405245,train,Infinity,100.0,NaN
-8.698355,41.955848,train,Infinity,100.0,NaN
-8.333575,42.224496,train,Infinity,100.0,NaN
-8.332626,42.314549,train,Infinity,100.0,NaN
-8.331674,42.40462,train,Infinity,100.0,NaN
-8.213534,42.133675,train,Infinity,100.0,NaN
-8.212417,42.223728,train,Infinity,100.0,NaN
-8.211295,42.313779,train,Infinity,100.0,NaN
-8.093835,42.042731,train,Infinity,100.0,NaN
-8.091264,42.222832,train,Infinity,100.0,NaN
-8.08997,42.31288,train,Infinity,100.0,NaN
-8.08867,42.402927,train,Infinity,100.0,NaN
-7.973031,42.041713,train,Infinity,100.0,NaN
-7.971577,42.131761,train,Infinity,100.0,NaN
-7.970117,42.221808,train,Infinity,100.0,NaN
-7.96865,42.311853,train,Infinity,100.0,NaN
-7.850609,42.130613,train,Infinity,100.0,NaN
-7.847338,42.310698,train,Infinity,100.0,NaN
-8.215752,41.953565,train,Infinity,100.0,NaN
-8.097648,41.772568,train,Infinity,100.0,NaN
-8.096383,41.862624,train,Infinity,100.0,NaN
-8.095112,41.952678,train,Infinity,100.0,NaN
-7.975918,41.861613,train,Infinity,100.0,NaN
-7.974478,41.951664,train,Infinity,100.0,NaN
-7.85546,41.860475,train,Infinity,100.0,NaN
-8.938624,43.036901,train,Infinity,100.0,NaN
-8.938443,43.216993,train,Infinity,100.0,NaN
-8.938352,43.307037,train,Infinity,100.0,NaN
-8.815328,43.216861,train,Infinity,100.0,NaN
-8.815056,43.306904,train,Infinity,100.0,NaN
-8.693564,42.946459,train,Infinity,100.0,NaN
-8.693116,43.036506,train,Infinity,100.0,NaN
-8.692215,43.216596,train,Infinity,100.0,NaN
-8.570992,42.946065,train,Infinity,100.0,NaN
-8.570365,43.036111,train,Infinity,100.0,NaN
-8.569736,43.126155,train,Infinity,100.0,NaN
-8.569103,43.216198,train,Infinity,100.0,NaN
-8.568468,43.30624,train,Infinity,100.0,NaN
-8.447617,43.035584,train,Infinity,100.0,NaN
-8.446808,43.125627,train,Infinity,100.0,NaN
-8.445995,43.215668,train,Infinity,100.0,NaN
-8.939067,42.586646,train,Infinity,100.0,NaN
-8.938891,42.766752,train,Infinity,100.0,NaN
-8.816936,42.676569,train,Infinity,100.0,NaN
-8.816671,42.766622,train,Infinity,100.0,NaN
-8.816405,42.856672,train,Infinity,100.0,NaN
-8.695772,42.496203,train,Infinity,100.0,NaN
-8.694453,42.766361,train,Infinity,100.0,NaN
-8.69401,42.856411,train,Infinity,100.0,NaN
-8.574083,42.495815,train,Infinity,100.0,NaN
-8.57347,42.585868,train,Infinity,100.0,NaN
-8.452398,42.495317,train,Infinity,100.0,NaN
-8.451609,42.585349,train,Infinity,100.0,NaN
-8.450818,42.675399,train,Infinity,100.0,NaN
-8.450023,42.765448,train,Infinity,100.0,NaN
-8.32289,43.215006,train,Infinity,100.0,NaN
-8.321891,43.305044,train,Infinity,100.0,NaN
-8.200964,43.124174,train,Infinity,100.0,NaN
-8.199789,43.214211,train,Infinity,100.0,NaN
-8.080741,42.943178,train,Infinity,100.0,NaN
-7.958192,42.942128,train,Infinity,100.0,NaN
-7.95514,43.122194,train,Infinity,100.0,NaN
-7.953608,43.212243,train,Infinity,100.0,NaN
-7.952063,43.302253,train,Infinity,100.0,NaN
-7.83565,42.940947,train,Infinity,100.0,NaN
-8.330713,42.494652,train,Infinity,100.0,NaN
-8.327814,42.764796,train,Infinity,100.0,NaN
-8.326838,42.854841,train,Infinity,100.0,NaN
-8.207899,42.583924,train,Infinity,100.0,NaN
-8.206756,42.673969,train,Infinity,100.0,NaN
-8.084733,42.673059,train,Infinity,100.0,NaN
-8.082078,42.85314,train,Infinity,100.0,NaN
-7.964209,42.58198,train,Infinity,100.0,NaN
-7.962715,42.672019,train,Infinity,100.0,NaN
-7.959707,42.852093,train,Infinity,100.0,NaN
-7.844036,42.490776,train,Infinity,100.0,NaN
-7.842375,42.580814,train,Infinity,100.0,NaN
-7.839028,42.760883,train,Infinity,100.0,NaN
-7.837343,42.850916,train,Infinity,100.0,NaN
-8.197424,43.39428,train,Infinity,100.0,NaN
-8.195037,43.574343,train,Infinity,100.0,NaN
-8.073965,43.393347,train,Infinity,100.0,NaN
-8.071211,43.573404,train,Infinity,100.0,NaN
-8.069824,43.663431,train,Infinity,100.0,NaN
-7.950513,43.39228,train,Infinity,100.0,NaN
-7.948956,43.482307,train,Infinity,100.0,NaN
-7.947391,43.572331,train,Infinity,100.0,NaN
-7.94582,43.662354,train,Infinity,100.0,NaN
-7.825328,43.481103,train,Infinity,100.0,NaN
-7.823579,43.571124,train,Infinity,100.0,NaN
-6.825755,40.224332,train,4.789538716864991E19,100.0,1.0
-6.822869,40.314358,train,Infinity,100.0,NaN
-6.705274,40.312084,train,Infinity,100.0,NaN
-7.731443,42.039297,train,Infinity,100.0,NaN
-7.727844,42.219377,train,Infinity,100.0,NaN
-7.726032,42.309414,train,Infinity,100.0,NaN
-7.61066,42.037898,train,Infinity,100.0,NaN
-7.602742,42.398034,train,Infinity,100.0,NaN
-7.489887,42.036373,train,Infinity,100.0,NaN
-7.48775,42.126404,train,Infinity,100.0,NaN
-7.485604,42.216434,train,Infinity,100.0,NaN
-7.481281,42.396489,train,Infinity,100.0,NaN
-7.369124,42.03472,train,Infinity,100.0,NaN
-7.36217,42.304794,train,Infinity,100.0,NaN
-7.248371,42.03294,train,Infinity,100.0,NaN
-7.240902,42.302997,train,Infinity,100.0,NaN
-7.23839,42.393013,train,7.8162207353071698E18,100.0,1.0
-7.73323,41.949255,train,Infinity,100.0,NaN
-7.612617,41.947861,train,Infinity,100.0,NaN
-7.373707,41.854663,train,Infinity,100.0,NaN
-7.371421,41.944692,train,Infinity,100.0,NaN
-7.253293,41.852894,train,Infinity,100.0,NaN
-7.250837,41.942918,train,Infinity,100.0,NaN
-7.127629,42.031033,train,Infinity,100.0,NaN
-7.12232,42.211061,train,Infinity,100.0,NaN
-7.006899,42.029,train,Infinity,100.0,NaN
-7.00408,42.119008,train,Infinity,100.0,NaN
-6.998403,42.299019,train,Infinity,100.0,NaN
-6.886182,42.026839,train,Infinity,100.0,NaN
-6.883193,42.11684,train,Infinity,100.0,NaN
-6.877172,42.296838,train,Infinity,100.0,NaN
-6.762319,42.114546,train,Infinity,100.0,NaN
-6.759145,42.204538,train,Infinity,100.0,NaN
-6.752752,42.384519,train,Infinity,100.0,NaN
-6.64146,42.112124,train,Infinity,100.0,NaN
-6.638115,42.202109,train,Infinity,100.0,NaN
-6.634754,42.292092,train,Infinity,100.0,NaN
-6.631378,42.382074,train,Infinity,100.0,NaN
-7.009706,41.93899,train,Infinity,100.0,NaN
-6.889158,41.936836,train,Infinity,100.0,NaN
-6.768625,41.934556,train,Infinity,100.0,NaN
-6.648106,41.932149,train,2.4544083121957963E298,100.0,1.0
-7.711236,43.029661,train,Infinity,100.0,NaN
-7.709348,43.119685,train,Infinity,100.0,NaN
-7.707451,43.209707,train,Infinity,100.0,NaN
-7.588531,43.028213,train,Infinity,100.0,NaN
-7.345567,42.934912,train,1.2523972707642853E20,100.0,1.0
-7.215253,43.203086,train,1.2908151074355228E48,100.0,1.0
-7.212623,43.293086,train,2.0050901387358933E63,100.0,1.0
-7.722384,42.489485,train,Infinity,100.0,NaN
