Especie,X,Y
HM,1.374699,41.763541
HM,1.376966,41.673507
HM,1.376966,41.673507
HM,1.497057,41.675140
HM,1.497057,41.675140
HM,1.497057,41.675140
HM,1.497057,41.675140
HM,1.497057,41.675140
HM,1.617157,41.676648
HM,1.617157,41.676648
HM,1.737266,41.678031
HM,1.737266,41.678031
HM,1.737266,41.678031
HM,1.499147,41.585100
HM,1.499147,41.585100
HM,1.499147,41.585100
HM,1.499147,41.585100
HM,1.499147,41.585100
HM,1.619081,41.586603
HM,1.619081,41.586603
HM,1.619081,41.586603
HM,1.619081,41.586603
HM,1.619081,41.586603
HM,1.619081,41.586603
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.739023,41.587981
HM,1.858973,41.589234
HM,1.381470,41.493434
HM,1.381470,41.493434
HM,1.501228,41.495057
HM,1.620995,41.496556
HM,1.620995,41.496556
HM,41.497930,1.740771
HM,41.497930,1.740771
HM,41.497930,1.740771
HM,41.497930,1.740771
HM,41.497930,1.740771
HM,41.497930,1.740771
HM,1.740771,41.497930
HM,1.620995,41.496556
HM,1,1
HM,1,1
HM,1,1
HM,1,1
HM,1.860555,41.499179
HM,1.860555,41.499179
HM,1.860555,41.499179
HM,1.860555,41.499179
HM,-15.561522,28.163842
HM,-15.459282,28.073952
HM,-15.458899,27.983689
HM,-15.458517,27.893412
HM,2.937974,42.405472
HM,-3.620854,37.177986
HM,-5.243352,38.690276
HM,-6.687316,37.337214
HM,1.035801,41.037697
HM,-6.252554,36.877345
HM,-16.176565,28.520977
HM,-6.252554,36.877345
HM,-17.087121,28.058855
HM,-17.087121,28.058855
HM,-5.052728,40.045209
HM,3.059241,42.135289
HM,-16.481819,28.427741
HM,-4.512920,36.719277
HM,-5.502562,36.161821
HM,-5.184391,36.708845
HM,3.179483,41.864967
HM,-13.927317,28.612090
HM,-14.031241,28.432351
HM,-13.928232,28.521844
HM,-13.825050,28.611242
HM,-16.278741,28.520054
HM,-16.277655,28.429810
HM,2.101387,41.411240
HM,-5.628754,36.609736
HM,-5.631819,36.699789
HM,-5.502562,36.161821
HM,-5.505433,36.251890
HM,-5.508317,36.341957
HM,-5.511214,36.432023
HM,-4.763935,37.887473
HM,-4.652277,37.979213
HM,-4.886835,38.246027
HM,-4.763935,37.887473
HM,1.863698,41.319065
HM,2.457304,41.773757
HM,2.101387,41.411240
HM,2.102626,41.321176
HM,-6.048928,39.485159
HM,2.102626,41.321176
HM,1.862130,41.409123
HM,2.337916,41.683061
HM,2.458062,41.683690
HM,2.338837,41.592996
HM,2.101387,41.411240
HM,2.101387,41.411240
HM,2.101387,41.411240
HM,-1.953439,43.301151
HM,-6.915421,37.251332
HM,-16.481819,28.427741
HM,1.607407,42.126853
HM,1.728362,42.128257
HM,2.574027,42.314638
HM,2.816716,42.315282
HM,2.696235,42.134902
HM,2.817236,42.135159
HM,2.817236,42.135159
HM,2.938499,41.865090
HM,2.096377,41.771485
HM,2.336991,41.773125
HM,2.457304,41.773757
HM,2.577621,41.774262
HM,2.697941,41.774641
HM,3.059495,42.405474
HM,3.181015,42.405346
HM,3.059410,42.315413
HM,3.179735,41.955033
HM,0.423839,41.475966
HM,1.740771,41.497930
HM,0.809920,40.673327
HM,2.219946,41.502179
HM,2.339754,41.502929
HM,2.101387,41.411240
HM,1.983159,41.320182
HM,2.102626,41.321176
HM,2.333246,42.133367
HM,2.098893,41.591365
HM,-17.292405,28.145811
HM,-17.292405,28.145811
HM,-17.190642,28.147483
HM,-17.922614,28.855431
HM,-17.815368,28.677306
HM,-17.917590,28.675135
HM,-17.917590,28.675135
HM,-17.917590,28.675135
HM,-6.467786,37.152507
HM,-16.483079,28.517978
HM,2.818516,41.684825
HM,2.818516,41.684825
HM,1.607407,42.126853
HM,1.849326,42.129534
HM,-5.287006,40.040820
HM,-4.816012,39.959074
HM,-3.841166,36.725921
HM,-6.250965,39.940626
HM,-6.467786,37.152507
HM,1.863698,41.319065
HM,2.817752,41.955029
HM,2.577029,41.864328
HM,2.697092,41.954775
HM,2.697517,41.864709
HM,2.817494,42.045095
HM,2.938238,42.135288
HM,2.816716,42.315282
HM,2.937974,42.405472
HM,3.059325,42.225352
HM,3.059410,42.315413
HM,3.180757,42.315286
HM,3.059495,42.405474
HM,3.181015,42.405346
HM,2.818516,41.684825
HM,-6.242806,37.147461
HM,-6.279286,39.220622
HM,-6.984091,38.874560
HM,-6.404929,38.953215
HM,-6.174382,38.947857
HM,-6.882191,38.422236
HM,-6.296479,38.770566
HM,-6.073886,38.585017
HM,-4.196941,37.984729
HM,-4.084417,38.075944
HM,-4.085750,38.166054
HM,-3.858528,38.258057
HM,-3.742409,38.078603
HM,-3.628398,38.079268
HM,-3.629171,38.169388
HM,-3.629171,38.169388
HM,-3.629947,38.259507
HM,-3.630727,38.349625
HM,-3.515651,38.260065
HM,-3.516290,38.350185
HM,-3.401849,38.350633
HM,-3.287407,38.350969
HM,2.216681,41.772368
HM,2.337916,41.683061
HM,2.336991,41.773125
HM,2.336061,41.863188
HM,2.458062,41.683690
HM,2.457304,41.773757
HM,2.456543,41.863821
HM,2.577621,41.774262
HM,3.059241,42.135289
HM,3.059325,42.225352
HM,3.059410,42.315413
HM,3.180500,42.225225
HM,3.180757,42.315286
HM,0.333510,40.753373
HM,-6.041382,39.845283
HM,-5.963314,39.845334
HM,-6.024500,37.862912
HM,-5.979986,37.862958
HM,-5.900051,37.864956
HM,-5.783114,37.777676
HM,-5.786500,37.867700
HM,-5.669686,37.780303
HM,-5.672934,37.870335
HM,-5.559353,37.872861
