CENTROX,CENTROY,PM
158957.6257,4812058.483,1
168942.8309,4811338.520,1
188909.6773,4809899.046,1
169663.3150,4821323.058,1
179647.1884,4820602.072,1
189629.4522,4819881.190,1
180368.7149,4830585.260,1
190351.2602,4829863.212,1
200332.6211,4829141.306,1
210312.7976,4828419.538,1
218851.0365,4807740.839,1
228829.1134,4807021.717,1
238806.0021,4806302.728,1
229548.7621,4816999.132,1
239525.5180,4816278.956,1
220291.7897,4827697.908,1
230269.5972,4826976.413,1
184613.4993,4750003.081,1
194595.9818,4749290.708,1
185326.5423,4759986.091,1
195308.8845,4759272.520,1
205290.0296,4758559.088,1
176057.3852,4770683.869,1
186040.7824,4769968.961,1
196022.9843,4769254.193,1
206003.9909,4768539.565,1
186756.2177,4779951.689,1
207435.4978,4788500.105,1
208153.0397,4798480.170,1
215269.9775,4757845.793,1
215983.8022,4767825.074,1
235939.8388,4766396.497,1
216698.8223,4777804.218,1
226677.3034,4777088.669,1
236654.5910,4776373.253,1
227393.3822,4787066.485,1
237370.5368,4786349.877,1
228110.6529,4797044.168,1
238087.6745,4796326.369,1
248781.7027,4805583.872,1
249501.0875,4815558.912,1
250221.6587,4825533.823,1
246630.6849,4775657.970,1
247346.4996,4785633.401,1
256315.0056,4825080.036,1
256856.3648,4835067.098,1
254696.3459,4795118.462,1
252550.6583,4755168.792,1
253085.7573,4765156.306,1
254158.6724,4785131.141,1
253621.6161,4775143.756,1
305000.0000,4805000.000,1
315000.0000,4805000.000,1
325000.0000,4805000.000,1
335000.0000,4805000.000,1
345000.0000,4805000.000,1
355000.0000,4805000.000,1
365000.0000,4805000.000,1
375000.0000,4805000.000,1
385000.0000,4805000.000,1
395000.0000,4805000.000,1
305000.0000,4815000.000,1
315000.0000,4815000.000,1
325000.0000,4815000.000,1
335000.0000,4815000.000,1
345000.0000,4815000.000,1
355000.0000,4815000.000,1
305000.0000,4825000.000,1
315000.0000,4825000.000,1
405000.0000,4805000.000,1
415000.0000,4805000.000,1
425000.0000,4805000.000,1
455000.0000,4805000.000,1
465000.0000,4805000.000,1
475000.0000,4805000.000,1
485000.0000,4805000.000,1
495000.0000,4805000.000,1
415000.0000,4815000.000,1
425000.0000,4815000.000,1
435000.0000,4815000.000,1
445000.0000,4815000.000,1
455000.0000,4815000.000,1
465000.0000,4815000.000,1
505000.0000,4805000.000,1
515000.0000,4805000.000,1
525000.0000,4805000.000,1
535000.0000,4805000.000,1
545000.0000,4805000.000,1
595000.0000,4805000.000,1
515000.0000,4815000.000,1
305000.0000,4735000.000,1
395000.0000,4735000.000,1
305000.0000,4745000.000,1
325000.0000,4745000.000,1
335000.0000,4745000.000,1
355000.0000,4745000.000,1
375000.0000,4745000.000,1
305000.0000,4755000.000,1
335000.0000,4755000.000,1
345000.0000,4755000.000,1
355000.0000,4755000.000,1
365000.0000,4755000.000,1
385000.0000,4755000.000,1
395000.0000,4755000.000,1
305000.0000,4765000.000,1
325000.0000,4765000.000,1
335000.0000,4765000.000,1
355000.0000,4765000.000,1
365000.0000,4765000.000,1
385000.0000,4765000.000,1
395000.0000,4765000.000,1
305000.0000,4775000.000,1
315000.0000,4775000.000,1
325000.0000,4775000.000,1
335000.0000,4775000.000,1
345000.0000,4775000.000,1
355000.0000,4775000.000,1
365000.0000,4775000.000,1
385000.0000,4775000.000,1
305000.0000,4785000.000,1
315000.0000,4785000.000,1
325000.0000,4785000.000,1
335000.0000,4785000.000,1
345000.0000,4785000.000,1
355000.0000,4785000.000,1
365000.0000,4785000.000,1
385000.0000,4785000.000,1
395000.0000,4785000.000,1
305000.0000,4795000.000,1
315000.0000,4795000.000,1
325000.0000,4795000.000,1
335000.0000,4795000.000,1
345000.0000,4795000.000,1
355000.0000,4795000.000,1
365000.0000,4795000.000,1
375000.0000,4795000.000,1
385000.0000,4795000.000,1
395000.0000,4795000.000,1
425000.0000,4735000.000,1
445000.0000,4735000.000,1
425000.0000,4745000.000,1
475000.0000,4745000.000,1
485000.0000,4745000.000,1
495000.0000,4745000.000,1
405000.0000,4755000.000,1
415000.0000,4755000.000,1
425000.0000,4755000.000,1
435000.0000,4755000.000,1
445000.0000,4755000.000,1
455000.0000,4755000.000,1
475000.0000,4755000.000,1
485000.0000,4755000.000,1
495000.0000,4755000.000,1
405000.0000,4765000.000,1
425000.0000,4765000.000,1
435000.0000,4765000.000,1
445000.0000,4765000.000,1
455000.0000,4765000.000,1
465000.0000,4765000.000,1
475000.0000,4765000.000,1
485000.0000,4765000.000,1
495000.0000,4765000.000,1
405000.0000,4775000.000,1
415000.0000,4775000.000,1
435000.0000,4775000.000,1
445000.0000,4775000.000,1
455000.0000,4775000.000,1
465000.0000,4775000.000,1
475000.0000,4775000.000,1
485000.0000,4775000.000,1
495000.0000,4775000.000,1
415000.0000,4785000.000,1
445000.0000,4785000.000,1
455000.0000,4785000.000,1
465000.0000,4785000.000,1
475000.0000,4785000.000,1
485000.0000,4785000.000,1
495000.0000,4785000.000,1
415000.0000,4795000.000,1
435000.0000,4795000.000,1
465000.0000,4795000.000,1
475000.0000,4795000.000,1
485000.0000,4795000.000,1
495000.0000,4795000.000,1
595000.0000,4705000.000,1
525000.0000,4715000.000,1
535000.0000,4715000.000,1
545000.0000,4715000.000,1
525000.0000,4725000.000,1
535000.0000,4725000.000,1
545000.0000,4725000.000,1
555000.0000,4725000.000,1
595000.0000,4725000.000,1
535000.0000,4735000.000,1
545000.0000,4735000.000,1
555000.0000,4735000.000,1
565000.0000,4735000.000,1
575000.0000,4735000.000,1
595000.0000,4735000.000,1
515000.0000,4745000.000,1
525000.0000,4745000.000,1
535000.0000,4745000.000,1
545000.0000,4745000.000,1
555000.0000,4745000.000,1
565000.0000,4745000.000,1
575000.0000,4745000.000,1
585000.0000,4745000.000,1
595000.0000,4745000.000,1
505000.0000,4755000.000,1
515000.0000,4755000.000,1
525000.0000,4755000.000,1
535000.0000,4755000.000,1
545000.0000,4755000.000,1
555000.0000,4755000.000,1
565000.0000,4755000.000,1
575000.0000,4755000.000,1
585000.0000,4755000.000,1
595000.0000,4755000.000,1
505000.0000,4765000.000,1
515000.0000,4765000.000,1
525000.0000,4765000.000,1
535000.0000,4765000.000,1
545000.0000,4765000.000,1
555000.0000,4765000.000,1
565000.0000,4765000.000,1
575000.0000,4765000.000,1
585000.0000,4765000.000,1
595000.0000,4765000.000,1
505000.0000,4775000.000,1
515000.0000,4775000.000,1
525000.0000,4775000.000,1
535000.0000,4775000.000,1
565000.0000,4775000.000,1
575000.0000,4775000.000,1
585000.0000,4775000.000,1
595000.0000,4775000.000,1
505000.0000,4785000.000,1
515000.0000,4785000.000,1
525000.0000,4785000.000,1
535000.0000,4785000.000,1
545000.0000,4785000.000,1
565000.0000,4785000.000,1
575000.0000,4785000.000,1
585000.0000,4785000.000,1
595000.0000,4785000.000,1
505000.0000,4795000.000,1
515000.0000,4795000.000,1
525000.0000,4795000.000,1
535000.0000,4795000.000,1
545000.0000,4795000.000,1
555000.0000,4795000.000,1
565000.0000,4795000.000,1
575000.0000,4795000.000,1
585000.0000,4795000.000,1
595000.0000,4795000.000,1
665000.0000,4705000.000,1
685000.0000,4705000.000,1
695000.0000,4705000.000,1
615000.0000,4715000.000,1
645000.0000,4715000.000,1
665000.0000,4715000.000,1
685000.0000,4715000.000,1
615000.0000,4725000.000,1
625000.0000,4725000.000,1
645000.0000,4725000.000,1
655000.0000,4725000.000,1
685000.0000,4725000.000,1
605000.0000,4735000.000,1
655000.0000,4735000.000,1
665000.0000,4735000.000,1
675000.0000,4735000.000,1
685000.0000,4735000.000,1
695000.0000,4735000.000,1
605000.0000,4745000.000,1
615000.0000,4745000.000,1
625000.0000,4745000.000,1
635000.0000,4745000.000,1
645000.0000,4745000.000,1
655000.0000,4745000.000,1
665000.0000,4745000.000,1
675000.0000,4745000.000,1
685000.0000,4745000.000,1
695000.0000,4745000.000,1
605000.0000,4755000.000,1
615000.0000,4755000.000,1
625000.0000,4755000.000,1
635000.0000,4755000.000,1
645000.0000,4755000.000,1
655000.0000,4755000.000,1
665000.0000,4755000.000,1
675000.0000,4755000.000,1
685000.0000,4755000.000,1
605000.0000,4765000.000,1
615000.0000,4765000.000,1
625000.0000,4765000.000,1
635000.0000,4765000.000,1
645000.0000,4765000.000,1
655000.0000,4765000.000,1
665000.0000,4765000.000,1
605000.0000,4775000.000,1
615000.0000,4775000.000,1
625000.0000,4775000.000,1
635000.0000,4775000.000,1
605000.0000,4785000.000,1
615000.0000,4785000.000,1
625000.0000,4785000.000,1
635000.0000,4785000.000,1
605000.0000,4795000.000,1
615000.0000,4795000.000,1
625000.0000,4795000.000,1
635000.0000,4795000.000,1
495000.0000,4625000.000,1
475000.0000,4635000.000,1
485000.0000,4635000.000,1
495000.0000,4635000.000,1
465000.0000,4645000.000,1
485000.0000,4645000.000,1
495000.0000,4645000.000,1
485000.0000,4655000.000,1
495000.0000,4655000.000,1
485000.0000,4665000.000,1
495000.0000,4665000.000,1
475000.0000,4675000.000,1
485000.0000,4675000.000,1
495000.0000,4675000.000,1
465000.0000,4685000.000,1
475000.0000,4685000.000,1
485000.0000,4685000.000,1
495000.0000,4685000.000,1
475000.0000,4695000.000,1
485000.0000,4695000.000,1
495000.0000,4695000.000,1
515000.0000,4625000.000,1
585000.0000,4625000.000,1
595000.0000,4625000.000,1
585000.0000,4635000.000,1
595000.0000,4635000.000,1
505000.0000,4645000.000,1
515000.0000,4645000.000,1
525000.0000,4645000.000,1
535000.0000,4645000.000,1
545000.0000,4645000.000,1
555000.0000,4645000.000,1
505000.0000,4655000.000,1
515000.0000,4655000.000,1
525000.0000,4655000.000,1
535000.0000,4655000.000,1
545000.0000,4655000.000,1
555000.0000,4655000.000,1
515000.0000,4665000.000,1
525000.0000,4665000.000,1
535000.0000,4665000.000,1
545000.0000,4665000.000,1
505000.0000,4675000.000,1
515000.0000,4675000.000,1
525000.0000,4675000.000,1
585000.0000,4675000.000,1
505000.0000,4685000.000,1
515000.0000,4685000.000,1
525000.0000,4685000.000,1
535000.0000,4685000.000,1
545000.0000,4685000.000,1
605000.0000,4625000.000,1
605000.0000,4635000.000,1
665000.0000,4695000.000,1
685000.0000,4695000.000,1
375000.0000,4505000.000,1
385000.0000,4505000.000,1
