X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-7.21144600328485,43.3819144788574,158957.6257,4812058.483,1,-7.211446,43.381914
-7.08805978990373,43.3799175865093,168942.8309,4811338.520,1,-7.088060,43.379918
-6.84132998434305,43.3755253941681,188909.6773,4809899.046,1,-6.841330,43.375525
-7.08522433453149,43.4699103930312,169663.3150,4821323.058,1,-7.085224,43.469910
-6.96167109655419,43.46777444172,179647.1884,4820602.072,1,-6.961671,43.467774
-6.83812936231739,43.4655031837021,189629.4522,4819881.190,1,-6.838129,43.465503
-6.9586364159484,43.5577583600022,180368.7149,4830585.260,1,-6.958636,43.557758
-6.83491115943333,43.5554812684209,190351.2602,4829863.212,1,-6.834911,43.555481
-6.71120081667887,43.5530703997362,200332.6211,4829141.306,1,-6.711201,43.553070
-6.58750623639847,43.5505257992177,210312.7976,4828419.538,1,-6.587506,43.550526
-6.47134157577911,43.3679385512595,218851.0365,4807740.839,1,-6.471342,43.367939
-6.34804637904913,43.3651441437472,228829.1134,4807021.717,1,-6.348046,43.365144
-6.2247692863515,43.3622169857934,238806.0021,4806302.728,1,-6.224769,43.362217
-6.34411616887432,43.4550907221635,229548.7621,4816999.132,1,-6.344116,43.455091
-6.22065693914914,43.4521544075189,239525.5180,4816278.956,1,-6.220657,43.452154
-6.46382826661702,43.5478475148194,220291.7897,4827697.908,1,-6.463828,43.547848
-6.34016775471431,43.5450355969938,230269.5972,4826976.413,1,-6.340168,43.545036
-6.86022471750208,42.8356167114124,184613.4993,4750003.081,1,-6.860225,42.835617
-6.73795781529335,42.8332653883316,194595.9818,4749290.708,1,-6.737958,42.833265
-6.85711131300273,42.9256053907789,185326.5423,4759986.091,1,-6.857111,42.925605
-6.73466687127787,42.9232466997471,195308.8845,4759272.520,1,-6.734667,42.923247
-6.61223759997946,42.9207571670163,205290.0296,4758559.088,1,-6.612238,42.920757
-6.97662078469344,43.017827255434,176057.3852,4770683.869,1,-6.976621,43.017827
-6.85398355485341,43.0155924701987,186040.7824,4769968.961,1,-6.853984,43.015592
