species,x,y
Podarcis bocagei,587790.144776,4631549.482985
Podarcis bocagei,587789.870799,4631551.459010
Timon lepidus,587786.490023,4631552.959376
Podarcis bocagei,587791.239471,4631548.703789
Podarcis bocagei,587794.126689,4631554.126026
Podarcis bocagei,587806.541296,4631564.476070
Podarcis bocagei,587806.255047,4631564.750063
Podarcis bocagei,587830.176618,4631595.263760
Podarcis bocagei,587821.771047,4631602.921830
Podarcis bocagei,587822.953427,4631628.283274
Lacerta schreiberi,587829.610381,4631596.426409
Podarcis bocagei,587829.052280,4631579.244360
Podarcis hispanica,587793.894162,4631561.446694
Podarcis hispanica,587792.738450,4631563.680453
Podarcis bocagei,587796.234600,4631558.458987
Podarcis bocagei,587793.923094,4631557.459223
Timon lepidus,587785.752262,4631566.375798
Podarcis bocagei,587789.207542,4631564.003892
Podarcis hispanica,587789.660738,4631563.351047
Podarcis hispanica,587789.665460,4631563.361244
Podarcis bocagei,587805.923685,4631554.451013
Podarcis bocagei,587804.593315,4631554.621813
Podarcis bocagei,587803.891009,4631556.839365
Timon lepidus,587773.695609,4631543.424742
Podarcis bocagei,587792.750027,4631556.780932
Podarcis bocagei,587793.273091,4631556.483352
Podarcis bocagei,587838.474247,4631560.193786
Podarcis bocagei,587838.747952,4631573.399003
Timon lepidus,587829.080455,4631589.618129
Timon lepidus,587828.355157,4631589.303638
Timon lepidus,587825.994033,4631595.111301
Podarcis bocagei,587829.321446,4631596.185187
Lacerta schreiberi,587819.942376,4631627.828177
Podarcis bocagei,587799.757726,4631636.354053
Lacerta schreiberi,587779.420507,4631656.817455
Lacerta schreiberi,587778.681270,4631657.115396
Podarcis bocagei,587745.299025,4631706.388058
Lacerta schreiberi,587739.432853,4631718.137763
Podarcis bocagei,587768.228339,4631662.329649
Podarcis bocagei,587822.002630,4631632.946416
Timon lepidus,587829.176028,4631587.618488
Podarcis bocagei,587838.895433,4631572.768125
Lacerta schreiberi,587832.875267,4631553.302430
Timon lepidus,587800.171274,4631568.692575
Timon lepidus,587803.512830,4631568.214340
Podarcis bocagei,587797.679779,4631556.454153
Timon lepidus,587803.658878,4631567.261535
Podarcis bocagei,587797.066366,4631539.734198
Podarcis bocagei,587799.010021,4631539.747774
Podarcis bocagei,587790.562572,4631548.938801
Podarcis bocagei,587808.611125,4631559.839709
Podarcis bocagei,587806.417633,4631559.759794
Podarcis bocagei,587807.520122,4631557.112847
Timon lepidus,587808.492414,4631562.369720
Timon lepidus,587825.372641,4631586.144528
Podarcis bocagei,587822.484143,4631620.666990
