"long","lat","species"
587791.239471,4631548.703789,"Podarcis bocagei"
587794.126689,4631554.126026,"Podarcis bocagei"
587830.176618,4631595.26376,"Podarcis bocagei"
587821.771047,4631602.92183,"Podarcis bocagei"
587822.953427,4631628.283274,"Podarcis bocagei"
587829.05228,4631579.24436,"Podarcis bocagei"
587796.2346,4631558.458987,"Podarcis bocagei"
587793.923094,4631557.459223,"Podarcis bocagei"
587789.207542,4631564.003892,"Podarcis bocagei"
587804.593315,4631554.621813,"Podarcis bocagei"
587803.891009,4631556.839365,"Podarcis bocagei"
587838.474247,4631560.193786,"Podarcis bocagei"
587799.757726,4631636.354053,"Podarcis bocagei"
587745.299025,4631706.388058,"Podarcis bocagei"
587768.228339,4631662.329649,"Podarcis bocagei"
587822.00263,4631632.946416,"Podarcis bocagei"
587838.895433,4631572.768125,"Podarcis bocagei"
587797.679779,4631556.454153,"Podarcis bocagei"
587799.010021,4631539.747774,"Podarcis bocagei"
587806.417633,4631559.759794,"Podarcis bocagei"
587807.520122,4631557.112847,"Podarcis bocagei"
587822.484143,4631620.66699,"Podarcis bocagei"
587796.061715,4631642.058549,"Podarcis bocagei"
587777.476544,4631656.095933,"Podarcis bocagei"
587698.614999,4631706.011715,"Podarcis bocagei"
587716.418021,4631732.200804,"Podarcis bocagei"
587786.060755,4631649.394552,"Podarcis bocagei"
587827.736008,4631596.281375,"Podarcis bocagei"
587799.192085,4631574.981757,"Podarcis bocagei"
587797.48103,4631573.159108,"Podarcis bocagei"
587782.19008,4631556.255635,"Podarcis bocagei"
587795.905052,4631539.034141,"Podarcis bocagei"
587811.906928,4631563.027777,"Podarcis bocagei"
587802.357949,4631580.037805,"Podarcis bocagei"
587819.8242,4631625.51019,"Podarcis bocagei"
587763.586361,4631669.512435,"Podarcis bocagei"
587802.198935,4631555.20156,"Podarcis bocagei"
587814.964299,4631559.968253,"Podarcis bocagei"
587832.453371,4631546.886561,"Podarcis bocagei"
587840.236562,4631563.300965,"Podarcis bocagei"
587821.138262,4631645.813973,"Podarcis bocagei"
587804.902677,4631643.968129,"Podarcis bocagei"
587798.561188,4631641.244397,"Podarcis bocagei"
587772.262457,4631541.562019,"Podarcis bocagei"
587791.075565,4631555.322347,"Podarcis bocagei"
587808.983072,4631561.442479,"Podarcis bocagei"
587834.891394,4631547.612264,"Podarcis bocagei"
587827.397317,4631576.653605,"Podarcis bocagei"
587821.261613,4631622.272984,"Podarcis bocagei"
587821.6134,4631641.683695,"Podarcis bocagei"
587812.735864,4631592.379267,"Podarcis bocagei"
587807.115338,4631563.771907,"Podarcis bocagei"
587772.637964,4631539.549494,"Podarcis bocagei"
587802.865385,4631551.585949,"Podarcis bocagei"
587805.491227,4631579.211795,"Podarcis bocagei"
587812.022664,4631587.375001,"Podarcis bocagei"
587820.260089,4631597.132457,"Podarcis bocagei"
587734.639166,4631750.163178,"Podarcis bocagei"
587742.80209,4631713.99634,"Podarcis bocagei"
587823.733023,4631615.823958,"Podarcis bocagei"
587826.928966,4631593.492421,"Podarcis bocagei"
