"species","x","y","coords.x1","coords.x2"
"Podarcis bocagei",587821.771047,4631602.92183,587821.771047,4631602.92183
"Podarcis bocagei",587789.207542,4631564.003892,587789.207542,4631564.003892
"Podarcis bocagei",587838.474247,4631560.193786,587838.474247,4631560.193786
"Podarcis bocagei",587829.321446,4631596.185187,587829.321446,4631596.185187
"Podarcis bocagei",587799.757726,4631636.354053,587799.757726,4631636.354053
"Podarcis bocagei",587745.299025,4631706.388058,587745.299025,4631706.388058
"Podarcis bocagei",587822.00263,4631632.946416,587822.00263,4631632.946416
"Podarcis bocagei",587799.010021,4631539.747774,587799.010021,4631539.747774
"Podarcis bocagei",587777.476544,4631656.095933,587777.476544,4631656.095933
"Podarcis bocagei",587698.614999,4631706.011715,587698.614999,4631706.011715
"Podarcis bocagei",587716.418021,4631732.200804,587716.418021,4631732.200804
"Podarcis bocagei",587786.060755,4631649.394552,587786.060755,4631649.394552
"Podarcis bocagei",587797.48103,4631573.159108,587797.48103,4631573.159108
"Podarcis bocagei",587782.19008,4631556.255635,587782.19008,4631556.255635
"Podarcis bocagei",587763.586361,4631669.512435,587763.586361,4631669.512435
"Podarcis bocagei",587791.672819,4631549.370737,587791.672819,4631549.370737
"Podarcis bocagei",587814.964299,4631559.968253,587814.964299,4631559.968253
"Podarcis bocagei",587804.581558,4631564.979137,587804.581558,4631564.979137
"Podarcis bocagei",587831.995224,4631546.475935,587831.995224,4631546.475935
"Podarcis bocagei",587821.138262,4631645.813973,587821.138262,4631645.813973
"Podarcis bocagei",587839.781866,4631574.450283,587839.781866,4631574.450283
"Podarcis bocagei",587827.397317,4631576.653605,587827.397317,4631576.653605
"Podarcis bocagei",587772.637964,4631539.549494,587772.637964,4631539.549494
"Podarcis bocagei",587802.865385,4631551.585949,587802.865385,4631551.585949
"Podarcis bocagei",587805.491227,4631579.211795,587805.491227,4631579.211795
"Podarcis bocagei",587812.022664,4631587.375001,587812.022664,4631587.375001
"Podarcis bocagei",587734.639166,4631750.163178,587734.639166,4631750.163178
"Podarcis bocagei",587823.733023,4631615.823958,587823.733023,4631615.823958
