"species","x","y","coords.x1","coords.x2"
"Timon lepidus",587786.490023,4631552.959376,587786.490023,4631552.959376
"Timon lepidus",587785.752262,4631566.375798,587785.752262,4631566.375798
"Timon lepidus",587825.994033,4631595.111301,587825.994033,4631595.111301
"Timon lepidus",587800.171274,4631568.692575,587800.171274,4631568.692575
"Timon lepidus",587738.41528,4631727.542632,587738.41528,4631727.542632
"Timon lepidus",587796.551605,4631556.226689,587796.551605,4631556.226689
"Timon lepidus",587773.743723,4631542.377587,587773.743723,4631542.377587
"Timon lepidus",587811.374571,4631591.697746,587811.374571,4631591.697746
"Timon lepidus",587734.804552,4631749.971539,587734.804552,4631749.971539
"Timon lepidus",587827.740806,4631582.423625,587827.740806,4631582.423625
"Timon lepidus",587807.271376,4631560.679796,587807.271376,4631560.679796
