X,X_WGS84,Y_WGS84,Rana
298,-6.990315,38.60562,1
299,-7.427625,39.603442,1
300,-7.317719,39.331613,1
301,-7.315555,39.421679,1
302,-7.201751,39.329879,1
303,-7.199438,39.41994,1
304,-6.04569,39.576408,1
305,-6.162222,39.219083,1
306,-6.486737,39.857144,1
307,-9.183864,42.946721,1
308,-9.184132,43.036769,1
309,-9.061289,42.946853,1
310,-9.061378,43.036901,1
311,-9.061468,43.126948,1
312,-9.061111,42.766752,1
313,-9.0612,42.856803,1
314,-8.818757,42.046165,1
315,-8.818501,42.136227,1
316,-8.817984,42.316347,1
317,-8.697929,42.04591,1
318,-8.697502,42.135972,1
319,-8.697072,42.226032,1
320,-8.696641,42.31609,1
321,-8.696207,42.406147,1
322,-8.577104,42.045529,1
323,-8.576505,42.135589,1
324,-8.575904,42.225648,1
325,-8.575299,42.315705,1
326,-8.574693,42.405761,1
327,-8.455511,42.135079,1
328,-8.454738,42.225136,1
329,-8.453961,42.315191,1
330,-8.453179,42.405245,1
331,-8.819013,41.956101,1
332,-8.698355,41.955848,1
333,-8.333575,42.224496,1
334,-8.332626,42.314549,1
335,-8.331674,42.40462,1
336,-8.213534,42.133675,1
337,-8.212417,42.223728,1
338,-8.211295,42.313779,1
339,-8.093835,42.042731,1
340,-8.092553,42.132782,1
341,-8.091264,42.222832,1
342,-8.08997,42.31288,1
343,-8.08867,42.402927,1
344,-7.973031,42.041713,1
345,-7.971577,42.131761,1
346,-7.970117,42.221808,1
347,-7.96865,42.311853,1
348,-7.852233,42.040569,1
349,-7.850609,42.130613,1
350,-7.848977,42.220656,1
351,-7.847338,42.310698,1
352,-8.215752,41.953565,1
353,-8.097648,41.772568,1
354,-8.096383,41.862624,1
355,-8.095112,41.952678,1
356,-7.975918,41.861613,1
357,-7.974478,41.951664,1
358,-7.85546,41.860475,1
359,-7.85385,41.950523,1
360,-8.938624,43.036901,1
361,-8.938534,43.126948,1
362,-8.938443,43.216993,1
363,-8.938352,43.307037,1
364,-8.816138,42.946721,1
365,-8.815869,43.036769,1
366,-8.815328,43.216861,1
367,-8.815056,43.306904,1
368,-8.693564,42.946459,1
369,-8.693116,43.036506,1
370,-8.692666,43.126552,1
371,-8.692215,43.216596,1
372,-8.570992,42.946065,1
373,-8.570365,43.036111,1
374,-8.569736,43.126155,1
375,-8.569103,43.216198,1
376,-8.568468,43.30624,1
377,-8.448423,42.94554,1
378,-8.447617,43.035584,1
379,-8.446808,43.125627,1
380,-8.445995,43.215668,1
381,-8.445178,43.305708,1
382,-8.939067,42.586646,1
383,-8.938979,42.6767,1
384,-8.938891,42.766752,1
385,-8.938802,42.856803,1
386,-8.817463,42.496461,1
387,-8.816936,42.676569,1
388,-8.816671,42.766622,1
389,-8.816405,42.856672,1
390,-8.695772,42.496203,1
391,-8.695334,42.586257,1
392,-8.694895,42.676309,1
393,-8.694453,42.766361,1
394,-8.69401,42.856411,1
395,-8.574083,42.495815,1
396,-8.57347,42.585868,1
397,-8.572855,42.675919,1
398,-8.572237,42.765969,1
399,-8.571616,42.856018,1
400,-8.452398,42.495317,1
401,-8.451609,42.585349,1
402,-8.450818,42.675399,1
403,-8.450023,42.765448,1
404,-8.449225,42.855495,1
405,-8.325858,42.944884,1
406,-8.324873,43.034926,1
407,-8.323884,43.124967,1
408,-8.32289,43.215006,1
409,-8.321891,43.305044,1
410,-8.202133,43.034136,1
411,-8.200964,43.124174,1
412,-8.199789,43.214211,1
413,-8.080741,42.943178,1
414,-8.079399,43.033215,1
415,-8.07805,43.12325,1
416,-8.076695,43.213284,1
417,-7.958192,42.942128,1
418,-7.95667,43.032162,1
419,-7.95514,43.122194,1
420,-7.953608,43.212243,1
421,-7.952063,43.302253,1
422,-7.83565,42.940947,1
423,-7.832242,43.121025,1
424,-7.830523,43.211032,1
425,-8.330713,42.494652,1
426,-8.329752,42.584701,1
427,-8.328785,42.674749,1
428,-8.327814,42.764796,1
429,-8.326838,42.854841,1
430,-8.209036,42.493877,1
431,-8.207899,42.583924,1
432,-8.206756,42.673969,1
433,-8.205608,42.764013,1
434,-8.087363,42.492973,1
435,-8.086051,42.583017,1
436,-8.084733,42.673059,1
437,-8.083408,42.7631,1
438,-8.082078,42.85314,1
439,-7.965697,42.491939,1
440,-7.964209,42.58198,1
441,-7.962715,42.672019,1
442,-7.959707,42.852093,1
443,-7.844036,42.490776,1
444,-7.842375,42.580814,1
445,-7.839028,42.760883,1
446,-7.837343,42.850916,1
447,-8.197424,43.39428,1
448,-8.195037,43.574343,1
449,-8.073965,43.393347,1
450,-8.072591,43.483376,1
451,-8.071211,43.573404,1
452,-8.069824,43.663431,1
453,-7.950513,43.39228,1
454,-7.948956,43.482307,1
455,-7.947391,43.572331,1
456,-7.94582,43.662354,1
457,-7.944241,43.752376,1
458,-7.827068,43.391081,1
459,-7.825328,43.481103,1
460,-7.823579,43.571124,1
461,-7.821823,43.661143,1
462,-6.825755,40.224332,1
463,-6.822869,40.314358,1
464,-6.708315,40.222065,1
465,-6.705274,40.312084,1
466,-7.731443,42.039297,1
467,-7.727844,42.219377,1
468,-7.726032,42.309414,1
469,-7.724212,42.39945,1
470,-7.61066,42.037898,1
471,-7.606719,42.217969,1
472,-7.602742,42.398034,1
473,-7.489887,42.036373,1
474,-7.48775,42.126404,1
475,-7.485604,42.216434,1
476,-7.483448,42.306462,1
477,-7.481281,42.396489,1
478,-7.369124,42.03472,1
479,-7.366816,42.124746,1
480,-7.364498,42.21477,1
481,-7.36217,42.304794,1
482,-7.35983,42.394815,1
483,-7.248371,42.03294,1
484,-7.245893,42.122961,1
485,-7.243403,42.21298,1
486,-7.240902,42.302997,1
487,-7.23839,42.393013,1
488,-7.73323,41.949255,1
489,-7.612617,41.947861,1
490,-7.494132,41.856305,1
491,-7.492014,41.94634,1
492,-7.373707,41.854663,1
493,-7.371421,41.944692,1
494,-7.253293,41.852894,1
495,-7.250837,41.942918,1
496,-7.127629,42.031033,1
497,-7.12232,42.211061,1
498,-7.119647,42.301072,1
499,-7.006899,42.029,1
500,-7.00408,42.119008,1
501,-7.001248,42.209014,1
502,-6.998403,42.299019,1
503,-6.995545,42.389023,1
504,-6.886182,42.026839,1
505,-6.883193,42.11684,1
506,-6.88019,42.20684,1
507,-6.877172,42.296838,1
508,-6.874142,42.386835,1
509,-6.765479,42.024552,1
