species,x,y
Lacerta,-7.317719,39.331613
Lacerta,-7.315555,39.421679
Lacerta,-7.204053,39.239817
Lacerta,-6.711343,40.132044
Lacerta,-9.183864,42.946721
Lacerta,-9.184132,43.036769
Lacerta,-9.061289,42.946853
Lacerta,-9.061378,43.036901
Lacerta,-9.061468,43.126948
Lacerta,-9.060935,42.586646
Lacerta,-9.061111,42.766752
Lacerta,-9.0612,42.856803
Lacerta,-8.818757,42.046165
Lacerta,-8.818501,42.136227
Lacerta,-8.817984,42.316347
Lacerta,-8.697502,42.135972
Lacerta,-8.697072,42.226032
Lacerta,-8.696641,42.31609
Lacerta,-8.696207,42.406147
Lacerta,-8.576505,42.135589
Lacerta,-8.575299,42.315705
Lacerta,-8.574693,42.405761
Lacerta,-8.454738,42.225136
Lacerta,-8.453961,42.315191
Lacerta,-8.453179,42.405245
Lacerta,-8.819013,41.956101
Lacerta,-8.335461,42.044384
Lacerta,-8.332626,42.314549
Lacerta,-8.331674,42.40462
Lacerta,-8.214646,42.043621
Lacerta,-8.213534,42.133675
Lacerta,-8.212417,42.223728
Lacerta,-8.211295,42.313779
Lacerta,-8.210168,42.403829
Lacerta,-8.093835,42.042731
Lacerta,-8.092553,42.132782
Lacerta,-8.091264,42.222832
Lacerta,-7.973031,42.041713
Lacerta,-7.971577,42.131761
Lacerta,-7.970117,42.221808
Lacerta,-7.96865,42.311853
Lacerta,-7.850609,42.130613
Lacerta,-7.848977,42.220656
Lacerta,-7.847338,42.310698
Lacerta,-7.845691,42.400738
Lacerta,-8.216854,41.863508
Lacerta,-8.215752,41.953565
Lacerta,-8.097648,41.772568
Lacerta,-8.096383,41.862624
Lacerta,-8.095112,41.952678
Lacerta,-7.975918,41.861613
Lacerta,-7.974478,41.951664
Lacerta,-7.85546,41.860475
Lacerta,-7.85385,41.950523
Lacerta,-8.938713,42.946853
Lacerta,-8.938624,43.036901
Lacerta,-8.938534,43.126948
Lacerta,-8.938443,43.216993
Lacerta,-8.938352,43.307037
Lacerta,-8.815869,43.036769
Lacerta,-8.815599,43.126816
Lacerta,-8.815328,43.216861
Lacerta,-8.815056,43.306904
Lacerta,-8.692666,43.126552
Lacerta,-8.692215,43.216596
Lacerta,-8.570992,42.946065
Lacerta,-8.570365,43.036111
Lacerta,-8.569736,43.126155
Lacerta,-8.569103,43.216198
Lacerta,-8.568468,43.30624
Lacerta,-8.448423,42.94554
Lacerta,-8.447617,43.035584
Lacerta,-8.446808,43.125627
Lacerta,-8.445995,43.215668
Lacerta,-8.445178,43.305708
Lacerta,-8.939067,42.586646
Lacerta,-8.938979,42.6767
Lacerta,-8.938891,42.766752
Lacerta,-8.938802,42.856803
Lacerta,-8.817463,42.496461
Lacerta,-8.816936,42.676569
Lacerta,-8.816405,42.856672
Lacerta,-8.695772,42.496203
Lacerta,-8.695334,42.586257
Lacerta,-8.694895,42.676309
Lacerta,-8.694453,42.766361
Lacerta,-8.574083,42.495815
Lacerta,-8.57347,42.585868
Lacerta,-8.572237,42.765969
Lacerta,-8.571616,42.856018
Lacerta,-8.450818,42.675399
Lacerta,-8.450023,42.765448
Lacerta,-8.325858,42.944884
Lacerta,-8.323884,43.124967
Lacerta,-8.32289,43.215006
Lacerta,-8.321891,43.305044
Lacerta,-8.200964,43.124174
Lacerta,-8.199789,43.214211
Lacerta,-8.079399,43.033215
Lacerta,-8.07805,43.12325
Lacerta,-8.076695,43.213284
Lacerta,-8.075333,43.303316
Lacerta,-7.958192,42.942128
Lacerta,-7.95667,43.032162
Lacerta,-7.953608,43.212243
Lacerta,-7.952063,43.302253
Lacerta,-7.83565,42.940947
Lacerta,-7.832242,43.121025
Lacerta,-7.830523,43.211032
Lacerta,-7.8288,43.301057
Lacerta,-8.330713,42.494652
Lacerta,-8.329752,42.584701
Lacerta,-8.327814,42.764796
Lacerta,-8.209036,42.493877
Lacerta,-8.207899,42.583924
Lacerta,-8.206756,42.673969
Lacerta,-8.205608,42.764013
Lacerta,-8.204455,42.854056
Lacerta,-8.087363,42.492973
Lacerta,-7.961215,42.762057
Lacerta,-7.959707,42.852093
Lacerta,-7.842375,42.580814
Lacerta,-7.839028,42.760883
Lacerta,-8.320888,43.39508
Lacerta,-8.318868,43.575148
Lacerta,-8.197424,43.39428
Lacerta,-8.195037,43.574343
Lacerta,-8.073965,43.393347
Lacerta,-8.072591,43.483376
Lacerta,-8.071211,43.573404
Lacerta,-8.069824,43.663431
Lacerta,-7.950513,43.39228
Lacerta,-7.948956,43.482307
Lacerta,-7.947391,43.572331
Lacerta,-7.94582,43.662354
Lacerta,-7.944241,43.752376
Lacerta,-7.827068,43.391081
Lacerta,-7.825328,43.481103
Lacerta,-7.821823,43.661143
Lacerta,-7.820058,43.751161
Lacerta,-6.825755,40.224332
Lacerta,-6.822869,40.314358
Lacerta,-6.708315,40.222065
Lacerta,-6.705274,40.312084
Lacerta,-6.702218,40.402101
Lacerta,-7.731443,42.039297
Lacerta,-7.727844,42.219377
Lacerta,-7.726032,42.309414
Lacerta,-7.61066,42.037898
Lacerta,-7.604735,42.308002
Lacerta,-7.602742,42.398034
Lacerta,-7.489887,42.036373
Lacerta,-7.48775,42.126404
Lacerta,-7.485604,42.216434
Lacerta,-7.481281,42.396489
Lacerta,-7.369124,42.03472
Lacerta,-7.366816,42.124746
Lacerta,-7.364498,42.21477
Lacerta,-7.36217,42.304794
Lacerta,-7.245893,42.122961
Lacerta,-7.243403,42.21298
Lacerta,-7.240902,42.302997
Lacerta,-7.23839,42.393013
Lacerta,-7.735009,41.859212
Lacerta,-7.614566,41.857822
Lacerta,-7.612617,41.947861
Lacerta,-7.494132,41.856305
Lacerta,-7.492014,41.94634
Lacerta,-7.373707,41.854663
Lacerta,-7.371421,41.944692
Lacerta,-7.253293,41.852894
Lacerta,-7.250837,41.942918
Lacerta,-7.127629,42.031033
Lacerta,-7.12498,42.121048
Lacerta,-7.12232,42.211061
Lacerta,-7.006899,42.029
Lacerta,-7.00408,42.119008
Lacerta,-7.001248,42.209014
Lacerta,-6.998403,42.299019
Lacerta,-6.995545,42.389023
Lacerta,-6.886182,42.026839
Lacerta,-6.883193,42.11684
Lacerta,-6.88019,42.20684
Lacerta,-6.877172,42.296838
Lacerta,-6.874142,42.386835
Lacerta,-6.762319,42.114546
Lacerta,-6.759145,42.204538
Lacerta,-6.755956,42.294529
Lacerta,-6.64479,42.022137
Lacerta,-6.64146,42.112124
Lacerta,-6.638115,42.202109
Lacerta,-6.634754,42.292092
Lacerta,-7.130266,41.941017
Lacerta,-7.009706,41.93899
Lacerta,-6.889158,41.936836
Lacerta,-6.768625,41.934556
Lacerta,-6.648106,41.932149
Lacerta,-7.713115,42.939635
Lacerta,-7.711236,43.029661
Lacerta,-7.709348,43.119685
Lacerta,-7.707451,43.209707
Lacerta,-7.705545,43.299728
Lacerta,-7.59059,42.938192
Lacerta,-7.588531,43.028213
Lacerta,-7.586464,43.118232
Lacerta,-7.584386,43.20825
Lacerta,-7.463589,43.116648
Lacerta,-7.340725,43.114932
Lacerta,-7.223072,42.933076
Lacerta,-7.220478,43.023081
Lacerta,-7.722384,42.489485
Lacerta,-7.720547,42.579518
Lacerta,-7.718702,42.669549
Lacerta,-7.714986,42.849608
Lacerta,-7.60074,42.488064
Lacerta,-7.472516,42.756581
Lacerta,-7.352748,42.66487
Lacerta,-7.235866,42.483027
Lacerta,-7.233331,42.57304
Lacerta,-7.230784,42.663051
Lacerta,-7.228225,42.753061
Lacerta,-7.100589,42.931108
Lacerta,-7.097816,43.021107
Lacerta,-7.09503,43.111104
Lacerta,-7.092232,43.2011
Lacerta,-7.08942,43.291094
