SPECIES,X,Y
Lacerta_schreiberi,-7.317719,39.331613
Lacerta_schreiberi,-7.315555,39.421679
Lacerta_schreiberi,-7.204053,39.239817
Lacerta_schreiberi,-6.711343,40.132044
Lacerta_schreiberi,-9.183864,42.946721
Lacerta_schreiberi,-9.184132,43.036769
Lacerta_schreiberi,-9.061289,42.946853
Lacerta_schreiberi,-9.061378,43.036901
Lacerta_schreiberi,-9.061468,43.126948
Lacerta_schreiberi,-9.060935,42.586646
Lacerta_schreiberi,-9.061111,42.766752
Lacerta_schreiberi,-9.0612,42.856803
Lacerta_schreiberi,-8.818757,42.046165
Lacerta_schreiberi,-8.818501,42.136227
Lacerta_schreiberi,-8.817984,42.316347
Lacerta_schreiberi,-8.697502,42.135972
Lacerta_schreiberi,-8.697072,42.226032
Lacerta_schreiberi,-8.696641,42.31609
Lacerta_schreiberi,-8.696207,42.406147
Lacerta_schreiberi,-8.576505,42.135589
Lacerta_schreiberi,-8.575299,42.315705
Lacerta_schreiberi,-8.574693,42.405761
Lacerta_schreiberi,-8.454738,42.225136
Lacerta_schreiberi,-8.453961,42.315191
Lacerta_schreiberi,-8.453179,42.405245
Lacerta_schreiberi,-8.819013,41.956101
Lacerta_schreiberi,-8.335461,42.044384
Lacerta_schreiberi,-8.332626,42.314549
Lacerta_schreiberi,-8.331674,42.40462
Lacerta_schreiberi,-8.214646,42.043621
Lacerta_schreiberi,-8.213534,42.133675
Lacerta_schreiberi,-8.212417,42.223728
Lacerta_schreiberi,-8.211295,42.313779
Lacerta_schreiberi,-8.210168,42.403829
Lacerta_schreiberi,-8.093835,42.042731
Lacerta_schreiberi,-8.092553,42.132782
Lacerta_schreiberi,-8.091264,42.222832
Lacerta_schreiberi,-7.973031,42.041713
Lacerta_schreiberi,-7.971577,42.131761
Lacerta_schreiberi,-7.970117,42.221808
Lacerta_schreiberi,-7.96865,42.311853
Lacerta_schreiberi,-7.850609,42.130613
Lacerta_schreiberi,-7.848977,42.220656
Lacerta_schreiberi,-7.847338,42.310698
Lacerta_schreiberi,-7.845691,42.400738
Lacerta_schreiberi,-8.216854,41.863508
Lacerta_schreiberi,-8.215752,41.953565
Lacerta_schreiberi,-8.097648,41.772568
Lacerta_schreiberi,-8.096383,41.862624
Lacerta_schreiberi,-8.095112,41.952678
Lacerta_schreiberi,-7.975918,41.861613
Lacerta_schreiberi,-7.974478,41.951664
Lacerta_schreiberi,-7.85546,41.860475
Lacerta_schreiberi,-7.85385,41.950523
Lacerta_schreiberi,-8.938713,42.946853
Lacerta_schreiberi,-8.938624,43.036901
Lacerta_schreiberi,-8.938534,43.126948
Lacerta_schreiberi,-8.938443,43.216993
Lacerta_schreiberi,-8.938352,43.307037
Lacerta_schreiberi,-8.815869,43.036769
Lacerta_schreiberi,-8.815599,43.126816
Lacerta_schreiberi,-8.815328,43.216861
Lacerta_schreiberi,-8.815056,43.306904
Lacerta_schreiberi,-8.692666,43.126552
Lacerta_schreiberi,-8.692215,43.216596
Lacerta_schreiberi,-8.570992,42.946065
Lacerta_schreiberi,-8.570365,43.036111
Lacerta_schreiberi,-8.569736,43.126155
Lacerta_schreiberi,-8.569103,43.216198
Lacerta_schreiberi,-8.568468,43.30624
Lacerta_schreiberi,-8.448423,42.94554
Lacerta_schreiberi,-8.447617,43.035584
Lacerta_schreiberi,-8.446808,43.125627
Lacerta_schreiberi,-8.445995,43.215668
Lacerta_schreiberi,-8.445178,43.305708
Lacerta_schreiberi,-8.939067,42.586646
Lacerta_schreiberi,-8.938979,42.6767
Lacerta_schreiberi,-8.938891,42.766752
Lacerta_schreiberi,-8.938802,42.856803
Lacerta_schreiberi,-8.817463,42.496461
Lacerta_schreiberi,-8.816936,42.676569
Lacerta_schreiberi,-8.816405,42.856672
Lacerta_schreiberi,-8.695772,42.496203
Lacerta_schreiberi,-8.695334,42.586257
Lacerta_schreiberi,-8.694895,42.676309
Lacerta_schreiberi,-8.694453,42.766361
Lacerta_schreiberi,-8.574083,42.495815
Lacerta_schreiberi,-8.57347,42.585868
Lacerta_schreiberi,-8.572237,42.765969
Lacerta_schreiberi,-8.571616,42.856018
Lacerta_schreiberi,-8.450818,42.675399
Lacerta_schreiberi,-8.450023,42.765448
Lacerta_schreiberi,-8.325858,42.944884
Lacerta_schreiberi,-8.323884,43.124967
Lacerta_schreiberi,-8.32289,43.215006
Lacerta_schreiberi,-8.321891,43.305044
Lacerta_schreiberi,-8.200964,43.124174
Lacerta_schreiberi,-8.199789,43.214211
Lacerta_schreiberi,-8.079399,43.033215
Lacerta_schreiberi,-8.07805,43.12325
Lacerta_schreiberi,-8.076695,43.213284
Lacerta_schreiberi,-8.075333,43.303316
Lacerta_schreiberi,-7.958192,42.942128
Lacerta_schreiberi,-7.95667,43.032162
Lacerta_schreiberi,-7.953608,43.212243
Lacerta_schreiberi,-7.952063,43.302253
Lacerta_schreiberi,-7.83565,42.940947
Lacerta_schreiberi,-7.832242,43.121025
Lacerta_schreiberi,-7.830523,43.211032
Lacerta_schreiberi,-7.8288,43.301057
Lacerta_schreiberi,-8.330713,42.494652
Lacerta_schreiberi,-8.329752,42.584701
Lacerta_schreiberi,-8.327814,42.764796
Lacerta_schreiberi,-8.209036,42.493877
Lacerta_schreiberi,-8.207899,42.583924
