x,y,species cloglog values
1.0,1.0,0.0037199114
2.0,2.0,0.8029812
3.0,3.0,0.020809934
4.0,4.0,0.25707874
5.0,5.0,0.018109638
6.0,6.0,1.61469E-5
7.0,7.0,0.47759187
8.0,8.0,0.0013582292
9.0,9.0,0.056774836
10.0,10.0,0.016329091
11.0,11.0,0.0010977231
12.0,12.0,0.0012246363
13.0,13.0,0.83018476
14.0,14.0,0.44493675
15.0,15.0,0.003870463
16.0,16.0,0.10847243
17.0,17.0,0.0019007634
18.0,18.0,4.6866314E-4
19.0,19.0,0.013158386
20.0,20.0,0.0021637387
21.0,21.0,0.0024893158
22.0,22.0,9.112669E-4
23.0,23.0,0.001281362
24.0,24.0,0.15666212
25.0,25.0,0.21406463
26.0,26.0,0.010143258
27.0,27.0,0.42796373
28.0,28.0,8.68757E-5
29.0,29.0,0.2094346
30.0,30.0,0.06307777
31.0,31.0,0.26068664
32.0,32.0,0.16424297
33.0,33.0,0.8785553
34.0,34.0,0.0019099846
35.0,35.0,0.00899197
36.0,36.0,0.04687765
37.0,37.0,0.076637685
38.0,38.0,0.0069621117
39.0,39.0,0.0023380104
40.0,40.0,0.090301745
41.0,41.0,0.004583727
42.0,42.0,0.039981313
43.0,43.0,0.43460435
44.0,44.0,0.0013763545
45.0,45.0,0.011970465
46.0,46.0,5.826373E-4
47.0,47.0,0.013946274
48.0,48.0,0.036583897
49.0,49.0,0.924473
50.0,50.0,0.027612798
51.0,51.0,0.056723703
52.0,52.0,0.14893357
53.0,53.0,0.17988129
54.0,54.0,0.0033836635
55.0,55.0,0.0049475995
56.0,56.0,0.012047224
57.0,57.0,3.898679E-5
58.0,58.0,0.09446618
59.0,59.0,8.7667763E-4
60.0,60.0,1.5154382E-5
61.0,61.0,0.18069908
62.0,62.0,0.036682118
63.0,63.0,0.032667488
64.0,64.0,0.033038404
65.0,65.0,0.0012564537
66.0,66.0,0.0025730727
67.0,67.0,4.9021683E-4
68.0,68.0,0.0036538078
69.0,69.0,0.031635597
70.0,70.0,0.22698013
71.0,71.0,0.39896765
72.0,72.0,0.14728363
73.0,73.0,4.0584177E-4
74.0,74.0,0.044723775
75.0,75.0,4.6538995E-4
76.0,76.0,0.019476268
77.0,77.0,0.005399369
78.0,78.0,0.011863042
79.0,79.0,0.21810684
80.0,80.0,0.041528136
81.0,81.0,0.122453384
82.0,82.0,0.0031606792
83.0,83.0,0.81407946
84.0,84.0,0.025287554
85.0,85.0,0.46762863
86.0,86.0,0.16471234
87.0,87.0,0.020631177
