Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.55221E-9,0.000000255,0.000006436,1,0,0
2.79287E-9,0.000001061,0.000007043,0.999662732,0,0
3.20489E-9,0.000002621,0.000008082,0.999100618,0,0
4.74637E-9,0.000010021,0.000011969,0.996964587,0,0
9.32544E-9,0.000025799,0.000023516,0.994491287,0,0
1.39121E-8,0.000051248,0.000035083,0.99213041,0,0
1.78431E-8,0.000101589,0.000044995,0.988645306,0,0
2.73322E-8,0.00025179,0.000068924,0.981225408,0,0
4.22185E-8,0.000501878,0.00010646,0.97301855,0,0
6.2852E-8,0.001005237,0.000158486,0.962450815,0,0
9.49939E-8,0.002509302,0.000239525,0.941540191,0,0
1.39321E-7,0.005004174,0.000351274,0.917706577,0,0
1.92116E-7,0.010018945,0.000484357,0.883530073,0,0
3.53951E-7,0.025011116,0.000892188,0.818887015,0,0
6.31653E-7,0.050057681,0.001591624,0.759977515,0,0
1.19824E-6,0.100007101,0.003017141,0.69668353,0,0
2.2422E-6,0.200022783,0.005638389,0.62945475,0,0
3.2981E-6,0.300009186,0.008282595,0.588532884,0,0
4.4771E-6,0.400205563,0.011226776,0.559415402,0,0
5.67021E-6,0.500339885,0.01419729,0.537155705,0,0
6.8861E-6,0.600539018,0.017215321,0.519168072,0,0
8.12618E-6,0.700411291,0.020283905,0.504215852,0,0
8.71929E-6,0.750121495,0.021748156,0.497582912,0.001730104,0
9.6122E-6,0.800650219,0.023948436,0.491399663,0.003460208,0
1.10312E-5,0.900039328,0.027434804,0.480607083,0.003460208,0
1.26319E-5,1.000596913,0.031352883,0.471051152,0.008650519,0
1.38911E-5,1.101193479,0.034423763,0.462507026,0.008650519,0
1.55133E-5,1.201278776,0.038365791,0.454862282,0.008650519,0
1.71504E-5,1.301030653,0.042327655,0.448004497,0.008650519,0
1.87247E-5,1.401676187,0.046122193,0.441708825,0.008650519,0
2.00329E-5,1.500502613,0.049263694,0.435975267,0.008650519,0
2.36675E-5,1.751482345,0.05793809,0.423046655,0.010380623,0
2.66267E-5,2.000754147,0.064942087,0.411916807,0.017301038,0
2.94968E-5,2.252503346,0.071685336,0.401798763,0.019031142,0
3.30946E-5,2.501291161,0.080069603,0.392917369,0.019031142,0
3.55256E-5,2.751283974,0.085692048,0.384710512,0.022491349,0
3.7808E-5,3.000836796,0.090939498,0.377065767,0.024221453,0
3.98466E-5,3.252518663,0.095600766,0.369758291,0.025951557,0
4.20696E-5,3.503336987,0.100656604,0.362900506,0.027681661,0
4.39779E-5,3.753021714,0.104974229,0.356379989,0.027681661,0
4.59581E-5,4.000720191,0.109432423,0.35019674,0.029411765,0
4.74076E-5,4.253082067,0.112681835,0.344125913,0.031141869,0
4.90331E-5,4.503188236,0.116311613,0.338279933,0.031141869,0
5.07757E-5,4.752321691,0.120186451,0.332658797,0.034602076,0
5.27496E-5,5.000600548,0.124555077,0.327262507,0.034602076,0
5.42109E-5,5.2518016,0.127775178,0.32197864,0.038062284,0
5.597E-5,5.505589649,0.131635832,0.316807195,0.038062284,0
5.79109E-5,5.750638826,0.135875647,0.311973019,0.038062284,0
5.9451E-5,6.002910289,0.139225134,0.307138842,0.043252595,0
6.1071E-5,6.250296577,0.142734556,0.302529511,0.046712803,0
6.25971E-5,6.50382687,0.146027429,0.29792018,0.048442907,0
6.4632E-5,6.751756007,0.150398503,0.293535694,0.048442907,0
6.66443E-5,7.0009275,0.154698816,0.289263631,0.048442907,0
6.81832E-5,7.250567563,0.15797301,0.285103991,0.048442907,0
7.06084E-5,7.500933477,0.163106989,0.281056773,0.05017301,0
7.22627E-5,7.750726051,0.166591036,0.277121979,0.05017301,0
7.4098E-5,8.007100437,0.170439301,0.273187184,0.05017301,0
7.58651E-5,8.254805395,0.174127762,0.269477234,0.051903114,0
7.73787E-5,8.500044103,0.177274096,0.265879708,0.053633218,0
